code,lattice,n,dX,dZ,dY,sigma,P_single,P_single_se,P_L,P_L_se,P_L_union,P_X,P_Y,P_Z,cvp_per_s,nsamples
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2900,2.398082e-02,7.491920e-03,6.402878e-01,2.350159e-02,5.094475e-03,2.398082e-01,1.558753e-01,2.446043e-01,0.4,417
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.3000,1.173418e-01,4.163802e-03,6.694007e-01,6.086413e-03,1.619233e-02,2.249749e-01,2.149314e-01,2.294945e-01,6.4,5974
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.3000,9.983633e-02,8.575697e-03,6.603928e-01,1.354734e-02,1.569154e-02,2.160393e-01,2.176759e-01,2.266776e-01,1.4,1222
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.3000,1.438849e-01,2.976914e-02,6.043165e-01,4.147618e-02,1.239036e-02,2.086331e-01,1.798561e-01,2.158273e-01,0.3,139
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.3000,7.701149e-02,4.519457e-03,6.301724e-01,8.183512e-03,3.058926e-02,2.879310e-01,1.712644e-01,1.709770e-01,58.0,3480
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.3000,6.938527e-02,6.269022e-03,6.250761e-01,1.194316e-02,1.697402e-02,2.057212e-01,1.813755e-01,2.379793e-01,27.4,1643
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.3000,2.590674e-02,8.085613e-03,6.632124e-01,2.405530e-02,6.944313e-03,2.357513e-01,1.658031e-01,2.616580e-01,0.3,386
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.1900,9.879305e-01,5.785197e-04,9.346844e-03,5.098045e-04,8.818747e-05,3.340163e-03,2.750723e-03,3.255958e-03,23.8,35627
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.1900,9.882234e-01,8.319840e-04,8.624279e-03,7.131123e-04,7.939499e-05,2.200678e-03,3.092845e-03,3.330756e-03,5.9,16813
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.1900,9.904041e-01,5.321866e-04,7.420432e-03,4.685028e-04,4.853584e-05,2.890690e-03,2.205269e-03,2.324473e-03,1.2,33556
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.1900,9.092881e-01,1.221095e-03,3.342492e-02,7.642224e-04,5.373784e-04,2.964677e-02,8.315557e-04,2.946600e-03,461.0,55318
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.1900,9.166230e-01,1.415337e-03,2.102118e-02,7.344403e-04,9.536155e-05,1.035332e-02,9.960159e-04,9.671839e-03,317.9,38152
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.1900,9.009878e-01,1.851719e-03,1.145405e-02,6.597043e-04,1.166898e-05,5.573279e-03,4.228005e-04,5.457970e-03,12.4,26017
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.1800,9.962785e-01,2.945825e-04,2.644822e-03,2.484746e-04,3.361501e-05,8.894090e-04,6.553540e-04,1.100059e-03,30.4,42725
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.1800,9.962234e-01,4.442299e-04,2.727511e-03,3.777216e-04,2.973875e-05,7.343299e-04,1.206399e-03,7.867821e-04,7.6,19065
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.1800,9.979068e-01,2.481523e-04,1.562500e-03,2.144581e-04,1.742691e-05,5.306604e-04,5.011792e-04,5.306604e-04,1.8,33920
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.1800,9.470167e-01,9.144771e-04,1.706667e-02,5.287626e-04,2.576018e-04,1.581667e-02,1.833333e-04,1.066667e-03,647.7,60000
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.1800,9.551416e-01,8.564994e-04,8.646372e-03,3.830915e-04,3.643310e-05,4.348868e-03,3.253090e-04,3.972195e-03,486.7,58406
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.1800,9.446091e-01,1.166200e-03,4.080890e-03,3.250252e-04,3.545202e-06,1.949470e-03,7.797879e-05,2.053441e-03,22.4,38472
